scenario,product,category,customer_type,user_activity,time_of_day,day_type,season,weather,discount,urgency,tone,emoji,notification
Festivals & Occasions,Mango Tango,Ice Cream,Inactive,App Open,Morning,Weekday,Summer,Cold,40%,Low,Premium,🍦,Treat yourself this weekday — you deserve Mango Tango.
Trends & Recommendations,Butterscotch Pecan,Ice Cream,Loyal,Home Feed View,Night,Weekday,Monsoon,Rainy,20%,Low,Warm,🍦,18 customers in Mumbai chose Butterscotch Pecan since this night.
Lifecycle & Re10tion,Coconut Almond Delight,Ice Cream,Returning,App Open,Late Night,Weekend,Spring,Cloudy,No Discount,High,Playful,🍦,You're on a 6-week run. Don't let Coconut Almond Delight be the one that breaks it.
App Updates,Mango Delight,Ice Cream,Loyal,App Open,Morning,Weekday,Winter,Hot,No Discount,Low,Playful,🍦,"We tidied up the app: Mango Delight loads faster, errors are fewer."
Search & Discovery,Oreo Sundae,Sundae,Inactive,Category Browse,Night,Weekday,Monsoon,Cloudy,No Discount,Low,Premium,🍨,Going deeper into the menu? Oreo Sundae is worth a stop.
Lifecycle & Re10tion,Vanilla,Ice Cream,Returning,App Open,Afternoon,Weekend,Autumn,Hot,20%,High,Friendly,🍦,You're on a 12-week run. Don't let Vanilla be the one that breaks it.
Lifecycle & Re10tion,Vanilla,Ice Cream,New,Order Delivered,Morning,Weekend,Winter,Rainy,0%,Low,Playful,🍦,Rate your Vanilla — it only takes a second.
Search & Discovery,Cheesecake,Cheesecake,New,Category Browse,Morning,Weekday,Autumn,Hot,Free Delivery,Medium,Exciting,🍰,Going deeper into the menu? Cheesecake is worth a stop.
Time & Context,Red Velvet,Ice Cream,Inactive,App Open,Evening,Weekend,Monsoon,Rainy,25%,High,Warm,🍦,"When it's rainy in Bengaluru, Red Velvet is all you need."
Time & Context,Sheer Khurma Kulfi,Kulfi,Inactive,App Open,Late Night,Weekend,Monsoon,Rainy,0%,Low,Luxury,🍡,Saturday + Sheer Khurma Kulfi = a pretty solid plan.
Lifecycle & Re10tion,Sheer Khurma Kulfi,Kulfi,Returning,Inactive,Afternoon,Weekend,Winter,Rainy,25%,Medium,Premium,🍡,It's been 31 days. We saved 25 % off Sheer Khurma Kulfi just for your return.
Cart & Purchase In10t,Coconut Almond Delight,Ice Cream,Premium,Browsing,Late Night,Weekday,Summer,Cloudy,No Discount,Medium,Premium,🍦,You waited and it paid off — Coconut Almond Delight is restocked.
Product Launches,Belgian Chocolate,Ice Cream,New,Home Feed View,Afternoon,Weekend,Monsoon,Sunny,50%,Low,Friendly,🍦,Rare batch: Belgian Chocolate is available for a short window only.
Transactional,Premium Tiramisu Twist,Jar Dessert,Inactive,Order Delivered,Evening,Weekday,Winter,Cold,No Discount,Low,Warm,🍮,Delivered in Kolkata. Hope you love the Premium Tiramisu Twist.
Social & Referral,Sheer Khurma Kulfi,Kulfi,Occasional,Group Cart View,Late Night,Weekend,Summer,Cloudy,10%,Low,Urgent,🍡,The more the merrier — split a Sheer Khurma Kulfi order and save 10 %.
Cart & Purchase In10t,Cheesecake,Cheesecake,Inactive,App Open,Night,Weekday,Monsoon,Sunny,10%,High,Exciting,🍰,Your night ritual — Cheesecake on repeat.
Trends & Recommendations,Rose Pistachio Brownie,Bakery Dessert,Loyal,Home Feed View,Evening,Weekend,Winter,Hot,10%,Medium,Minimal,🧁,Rose Pistachio Brownie leads the pack this weekend in sales across Kolkata.
Search & Discovery,Coconut Almond Delight,Ice Cream,New,Viewed Product,Late Night,Weekend,Monsoon,Cold,50%,Low,Premium,🍦,Coconut Almond Delight showed up in your browsing. Ready to take it further?
Lifecycle & Re10tion,10der Coconut,Ice Cream,Premium,App Open,Night,Weekday,Spring,Cold,15%,Low,Luxury,🍦,You're on a 12-week run. Don't let 10der Coconut be the one that breaks it.
Time & Context,Choco Walnut Brownie,Bakery Dessert,Occasional,App Open,Evening,Weekend,Spring,Cold,30%,High,Friendly,🧁,Evening deliveries are still running — Choco Walnut Brownie is available now.
Trends & Recommendations,Cardamom Saffron,Ice Cream,Premium,Home Feed View,Evening,Weekday,Spring,Cloudy,15%,High,Premium,🍦,"Since evening, 167 orders for Cardamom Saffron came in from Chennai."
Cart & Purchase In10t,Salted Caramel Brownie,Bakery Dessert,Occasional,Favoriting,Late Night,Weekday,Monsoon,Hot,30%,Low,Funny,🧁,Something about Salted Caramel Brownie on your wishlist keeps pulling you back.
Transactional,Mango Shake,Shake,New,Order Dispatched,Evening,Weekday,Monsoon,Cloudy,No Discount,Medium,Warm,🥤,Your Mango Shake is on the road — estimated arrival: 10 minutes.
Discounts & Promotions,Peanut Butter Cup,Ice Cream,Returning,App Open,Morning,Weekday,Monsoon,Sunny,15%,High,Friendly,🍦,Thanks for sticking with us — enjoy 15 % off Peanut Butter Cup as a loyalty reward.
Trends & Recommendations,Oreo Overload,Ice Cream,Returning,Home Feed View,Morning,Weekend,Winter,Cold,15%,High,Minimal,🍦,"Since morning, 44 orders for Oreo Overload came in from Delhi."
Discounts & Promotions,Oreo Overload,Ice Cream,Loyal,Subscription Page View,Evening,Weekend,Winter,Hot,20%,High,Exciting,🍦,Lock in 20 % savings on Oreo Overload with a recurring subscription.
Festivals & Occasions,Belgian Choco Fudge,Ice Cream,Premium,App Open,Late Night,Weekday,Winter,Cold,10%,High,Playful,🍦,Treat yourself this weekday — you deserve Belgian Choco Fudge.
Trends & Recommendations,Caramel Pecan Tart,Bakery Dessert,Occasional,Home Feed View,Afternoon,Weekend,Winter,Rainy,40%,High,Premium,🧁,Crowd verdict in Mumbai: Caramel Pecan Tart wins this week.
Transactional,Nutella Stuffed Croissant,Bakery Dessert,Occasional,Order Dispatched,Afternoon,Weekend,Monsoon,Rainy,No Discount,Medium,Luxury,🧁,Your Nutella Stuffed Croissant is on the road — estimated arrival: 42 minutes.
Product Launches,Kesar Pista,Ice Cream,Premium,Home Feed View,Night,Weekday,Spring,Cloudy,30%,Low,Premium,🍦,The combo menu just got better — Kesar Pista is in the mix.
Festivals & Occasions,Black Currant Bliss,Ice Cream,New,Home Feed View,Night,Weekday,Winter,Cloudy,25%,Medium,Warm,🍦,Make Ganesh Chaturthi unforgettable — Black Currant Bliss at 25 % off today.
Lifecycle & Re10tion,Belgian Chocolate,Ice Cream,Inactive,First App Open,Morning,Weekday,Spring,Cloudy,20%,Low,Funny,🍦,Jump in with Belgian Chocolate — your first order gets 20 % off.
Discounts & Promotions,Dark Chocolate Truffle,Ice Cream,Inactive,App Open,Afternoon,Weekday,Summer,Hot,Free Delivery,Medium,Urgent,🍦,"Free delivery is live for Dark Chocolate Truffle, today only."
Time & Context,Rose Pistachio Brownie,Bakery Dessert,Returning,App Open,Evening,Weekday,Autumn,Sunny,30%,High,Premium,🧁,Before the day gets hectic: Rose Pistachio Brownie as your morning pick-me-up.
Festivals & Occasions,Strawberry,Ice Cream,Loyal,App Open,Evening,Weekend,Summer,Rainy,No Discount,High,Urgent,🍦,Every occasion is better with Strawberry on the side.
Search & Discovery,Mango Sorbet,Sorbet,Inactive,Search Performed,Late Night,Weekend,Autumn,Rainy,No Discount,Low,Urgent,🍧,"Not sure what you found, but Mango Sorbet matches your search vibe."
Search & Discovery,Red Velvet Cheesecake Bites,Cheesecake,Premium,Search Performed,Morning,Weekday,Winter,Rainy,50%,High,Luxury,🍰,"Not sure what you found, but Red Velvet Cheesecake Bites matches your search vibe."
Product Launches,Choco Walnut Brownie,Bakery Dessert,Loyal,Home Feed View,Evening,Weekend,Autumn,Cloudy,0%,Low,Minimal,🧁,The combo menu just got better — Choco Walnut Brownie is in the mix.
Product Launches,Premium Tiramisu Twist,Jar Dessert,Inactive,Home Feed View,Night,Weekday,Spring,Rainy,15%,Low,Premium,🍮,New combo alert: Premium Tiramisu Twist is now part of our mix-and-match bundle.
Transactional,Strawberry Cheesecake,Cheesecake,Loyal,Payment Attempted,Evening,Weekday,Winter,Cold,No Discount,High,Funny,🍰,We couldn't charge for your Strawberry Cheesecake. Want to retry?
Discounts & Promotions,Mint Chocolate,Ice Cream,Loyal,Coupon Page View,Afternoon,Weekend,Autumn,Cloudy,25%,Medium,Friendly,🍦,We dropped a 25 % coupon in your account for Mint Chocolate.
Social & Referral,Strawberry,Ice Cream,Premium,Home Feed View,Night,Weekday,Summer,Cloudy,50%,Low,Luxury,🍦,Throwing something together this weekday? Strawberry in bulk is sorted.
Product Launches,Falooda,Beverage Dessert,Loyal,Home Feed View,Night,Weekday,Autumn,Cloudy,Buy1Get1,High,Premium,🥛,Don't sleep on Falooda — it's a limited release this autumn.
Discounts & Promotions,Coffee Toffee Crunch,Ice Cream,Premium,Promo Banner View,Morning,Weekday,Summer,Rainy,50%,High,Premium,🍦,Act before morning ends: Coffee Toffee Crunch at 50 % off right now.
Product Launches,Nutella Croissant,Bakery Dessert,Loyal,Home Feed View,Afternoon,Weekday,Monsoon,Cold,Buy1Get1,Medium,Funny,🧁,The combo menu just got better — Nutella Croissant is in the mix.
Social & Referral,Coffee Caramel Swirl,Ice Cream,New,Home Feed View,Morning,Weekday,Monsoon,Rainy,25%,Medium,Luxury,🍦,Throwing something together this weekday? Coffee Caramel Swirl in bulk is sorted.
App Updates,Hazelnut Praline,Ice Cream,Inactive,App Open,Late Night,Weekday,Autumn,Rainy,No Discount,Low,Premium,🍦,Update: you can now track your Hazelnut Praline delivery live on the map.
Search & Discovery,Kulfi,Kulfi,Occasional,Scrolled Category,Morning,Weekday,Autumn,Sunny,25%,High,Minimal,🍡,Noticed you checked Kulfi out this morning — want it delivered?
Transactional,Black Currant Bliss,Ice Cream,Occasional,Order Dispatched,Afternoon,Weekend,Autumn,Rainy,No Discount,Medium,Exciting,🍦,"Delivery partner picked up your Black Currant Bliss, 29 minutes out."
Social & Referral,Oreo Sundae,Sundae,Inactive,Home Feed View,Morning,Weekend,Monsoon,Hot,0%,Low,Friendly,🍨,Throwing something together this weekend? Oreo Sundae in bulk is sorted.
Social & Referral,Paan Surprise,Ice Cream,Premium,Group Cart View,Night,Weekend,Monsoon,Cold,20%,Medium,Funny,🍦,The more the merrier — split a Paan Surprise order and save 20 %.
Transactional,Vanilla Bean,Ice Cream,Premium,Order Delivered,Evening,Weekday,Autumn,Cloudy,No Discount,Low,Minimal,🍦,Delivered in Delhi. Hope you love the Vanilla Bean.
Cart & Purchase In10t,Coffee Toffee Crunch,Ice Cream,New,Browsing,Morning,Weekday,Monsoon,Cold,40%,Medium,Luxury,🍦,Great news from Delhi: Coffee Toffee Crunch is back on the shelves.
Discounts & Promotions,Kulfi,Kulfi,New,App Open,Late Night,Weekend,Monsoon,Hot,Free Delivery,Low,Funny,🍡,"Free delivery is live for Kulfi, today only."
Cart & Purchase In10t,Sorbet Cup,Sorbet,Loyal,Favoriting,Afternoon,Weekday,Spring,Hot,No Discount,High,Friendly,🍧,Your saved Sorbet Cup — still calling your name?
Cart & Purchase In10t,Choco Chip Cookie Sandwich,Bakery Dessert,Premium,Notify Me Clicked,Morning,Weekday,Autumn,Rainy,25%,Low,Warm,🧁,Great news from Kolkata: Choco Chip Cookie Sandwich is back on the shelves.
Time & Context,Salted Caramel Brownie Bliss,Bakery Dessert,Loyal,App Open,Late Night,Weekday,Summer,Hot,Free Delivery,High,Playful,🧁,"When it's hot in Chennai, Salted Caramel Brownie Bliss is all you need."
Lifecycle & Re10tion,Mango Shake,Shake,Premium,App Open,Afternoon,Weekend,Winter,Cloudy,15%,Low,Friendly,🥤,You're on a 6-week run. Don't let Mango Shake be the one that breaks it.
Transactional,Coconut Almond Delight,Ice Cream,Occasional,Order Delivered,Evening,Weekend,Winter,Rainy,No Discount,Low,Premium,🍦,Delivered in Chennai. Hope you love the Coconut Almond Delight.
Search & Discovery,Kulfi,Kulfi,Inactive,Scrolled Category,Night,Weekday,Winter,Sunny,Free Delivery,Medium,Exciting,🍡,You browsed Kulfi earlier today but didn't order — still on your mind?
Search & Discovery,Tricolor Kulfi Bar,Kulfi,Premium,Scrolled Category,Morning,Weekend,Summer,Rainy,0%,Medium,Urgent,🍡,Noticed you checked Tricolor Kulfi Bar out this morning — want it delivered?
Time & Context,Triple Scoop Sundae,Sundae,Returning,App Open,Night,Weekday,Winter,Rainy,20%,Medium,Luxury,🍨,Early bird treat — Triple Scoop Sundae delivered to you this night.
Lifecycle & Re10tion,Hazelnut Praline,Ice Cream,Occasional,Inactive,Late Night,Weekday,Autumn,Rainy,15%,High,Warm,🍦,Long time no order — welcome back with 15 % off Hazelnut Praline.
Festivals & Occasions,Banana Caramel Swirl,Ice Cream,New,Home Feed View,Evening,Weekday,Spring,Hot,25%,Medium,Exciting,🍦,Your Brownie Day table is incomplete without Banana Caramel Swirl.
Cart & Purchase In10t,Butterscotch Pecan,Ice Cream,Premium,Wishlist View,Morning,Weekend,Winter,Cloudy,10%,High,Urgent,🍦,Your saved Butterscotch Pecan — still calling your name?
Cart & Purchase In10t,Pistachio Rose,Ice Cream,Premium,Cart idle 2h,Morning,Weekday,Autumn,Sunny,Buy1Get1,Low,Funny,🍦,Pistachio Rose is waiting in your bag. It's been three hours.
Trends & Recommendations,Salted Caramel Brownie,Bakery Dessert,Premium,Home Feed View,Afternoon,Weekday,Spring,Hot,Buy1Get1,Medium,Premium,🧁,"Since afternoon, 99 orders for Salted Caramel Brownie came in from Chennai."
Time & Context,Mango Cheesecake Jar,Cheesecake,Returning,App Open,Morning,Weekend,Winter,Hot,40%,High,Playful,🍰,Weekend energy in Chennai is perfect for ordering Mango Cheesecake Jar.
Lifecycle & Re10tion,Salted Caramel Brownie Bliss,Bakery Dessert,Occasional,Inactive,Evening,Weekend,Spring,Rainy,25%,High,Premium,🧁,17 days is a long time to go without Salted Caramel Brownie Bliss.
Social & Referral,Roasted Almond Fudge,Ice Cream,Occasional,Home Feed View,Morning,Weekday,Monsoon,Cloudy,50%,Medium,Minimal,🍦,Throwing something together this weekday? Roasted Almond Fudge in bulk is sorted.
Lifecycle & Re10tion,Oreo Overload,Ice Cream,Inactive,Inactive,Night,Weekend,Summer,Sunny,25%,Low,Urgent,🍦,It's been 6 days. We saved 25 % off Oreo Overload just for your return.
Transactional,Mango Delight,Ice Cream,Loyal,Order Delivered,Late Night,Weekday,Autumn,Hot,No Discount,Low,Premium,🍦,Delivered in Chennai. Hope you love the Mango Delight.
Product Launches,Kulfi,Kulfi,Returning,Home Feed View,Night,Weekday,Spring,Sunny,50%,Medium,Minimal,🍡,Don't sleep on Kulfi — it's a limited release this spring.
Time & Context,Black Currant,Ice Cream,Occasional,App Open,Late Night,Weekend,Winter,Cold,15%,High,Warm,🍦,"When it's cold in Mumbai, Black Currant is all you need."
Search & Discovery,Belgian Choco Fudge,Ice Cream,New,Search Performed,Morning,Weekend,Winter,Cloudy,20%,Medium,Minimal,🍦,"Not sure what you found, but Belgian Choco Fudge matches your search vibe."
Discounts & Promotions,Oreo Overload,Ice Cream,Occasional,App Open,Night,Weekend,Spring,Sunny,Free Delivery,High,Luxury,🍦,"Free delivery is live for Oreo Overload, today only."
Transactional,Coffee Toffee Crunch,Ice Cream,New,Order Placed,Night,Weekday,Spring,Rainy,0%,Low,Warm,🍦,Received! Coffee Toffee Crunch will be ready to go shortly.
Search & Discovery,Mango Shake,Shake,Returning,Viewed Product,Night,Weekday,Autumn,Hot,0%,Low,Premium,🥤,You browsed Mango Shake earlier today but didn't order — still on your mind?
Social & Referral,Gingerbread Kulfi Bar,Kulfi,New,Group Cart View,Evening,Weekday,Spring,Sunny,10%,High,Warm,🍡,Group order this weekday? Gingerbread Kulfi Bar with 10 % off for 4+ people.
Social & Referral,Belgian Chocolate,Ice Cream,Returning,Home Feed View,Afternoon,Weekend,Monsoon,Cold,No Discount,Medium,Playful,🍦,Party dessert handled — Belgian Chocolate family packs available now.
Festivals & Occasions,Blueberry Cheesecake,Cheesecake,Inactive,Home Feed View,Evening,Weekend,Winter,Cold,50%,High,Friendly,🍰,"Mark the food holiday correctly — with Blueberry Cheesecake, obviously."
Time & Context,Oreo Sundae,Sundae,Inactive,App Open,Morning,Weekday,Monsoon,Hot,15%,Low,Playful,🍨,Hot and Oreo Sundae just go together — order now.
Discounts & Promotions,Watermelon Sorbet,Sorbet,New,App Open,Morning,Weekend,Summer,Sunny,40%,High,Warm,🍧,Act before morning ends: Watermelon Sorbet at forty % off right now.
Transactional,Lychee Rose,Ice Cream,Premium,Order Placed,Evening,Weekend,Winter,Hot,0%,Low,Exciting,🍦,Order in — Lychee Rose is being freshly prepped for you.
Discounts & Promotions,Banana Caramel Swirl,Ice Cream,New,Promo Banner View,Evening,Weekday,Winter,Rainy,50%,High,Luxury,🍦,Act before evening ends: Banana Caramel Swirl at 50 % off right now.
Search & Discovery,Choco Lava Cupcakes,Bakery Dessert,Loyal,Scrolled Category,Morning,Weekend,Summer,Cloudy,0%,Medium,Playful,🧁,You browsed Choco Lava Cupcakes earlier today but didn't order — still on your mind?
Lifecycle & Re10tion,Triple Scoop Sundae,Sundae,Returning,First App Open,Morning,Weekend,Summer,Sunny,25%,Low,Funny,🍨,First order perk: Triple Scoop Sundae with 25 % knocked off already.
Discounts & Promotions,Premium Tiramisu Jar,Jar Dessert,Inactive,App Open,Night,Weekday,Spring,Hot,50%,High,Warm,🍮,Act before night ends: Premium Tiramisu Jar at 50 % off right now.
Festivals & Occasions,Peanut Butter Cup,Ice Cream,Inactive,Home Feed View,Afternoon,Weekend,Monsoon,Hot,Buy1Get1,Medium,Warm,🍦,"Mark the food holiday correctly — with Peanut Butter Cup, obviously."
Lifecycle & Re10tion,Strawberry,Ice Cream,Returning,Inactive,Morning,Weekend,Autumn,Rainy,10%,High,Minimal,🍦,42 days is a long time to go without Strawberry.
App Updates,Paan Surprise,Ice Cream,New,App Open,Late Night,Weekday,Winter,Cold,0%,Low,Funny,🍦,"We tidied up the app: Paan Surprise loads faster, errors are fewer."
Search & Discovery,Choco Chip Cookie Sandwich,Bakery Dessert,Loyal,Search Performed,Late Night,Weekday,Spring,Rainy,25%,High,Exciting,🧁,"Not sure what you found, but Choco Chip Cookie Sandwich matches your search vibe."
Discounts & Promotions,Mango Tango,Ice Cream,Premium,App Open,Afternoon,Weekday,Monsoon,Rainy,40%,High,Minimal,🍦,Act before afternoon ends: Mango Tango at forty % off right now.
Cart & Purchase In10t,Mango Delight,Ice Cream,Premium,Browsing,Night,Weekend,Winter,Cloudy,15%,High,Urgent,🍦,Wallet-friendly news: Mango Delight dropped in price by 15 % today.
Product Launches,Red Velvet Cheesecake Bites,Cheesecake,Occasional,Home Feed View,Late Night,Weekend,Autumn,Cold,25%,High,Playful,🍰,Rare batch: Red Velvet Cheesecake Bites is available for a short window only.
Social & Referral,10der Coconut,Ice Cream,Premium,Group Cart View,Night,Weekend,Autumn,Rainy,20%,Low,Warm,🍦,The more the merrier — split a 10der Coconut order and save 20 %.
Search & Discovery,Choco Chip Cookie Sandwich,Bakery Dessert,Occasional,Search No Result,Morning,Weekday,Spring,Cloudy,0%,Medium,Playful,🧁,"That search didn't match anything exact, so here's Choco Chip Cookie Sandwich instead."
Cart & Purchase In10t,Choco Walnut Brownie,Bakery Dessert,Returning,Cart idle 6h,Morning,Weekday,Summer,Cloudy,No Discount,High,Friendly,🧁,It's been two hours since you added Choco Walnut Brownie. Still interested?
Trends & Recommendations,Rose Thandai Kulfi,Kulfi,Loyal,Home Feed View,Afternoon,Weekday,Autumn,Sunny,Buy1Get1,Medium,Urgent,🍡,Orders for Rose Thandai Kulfi are climbing fast across Delhi.
Festivals & Occasions,Tiramisu Twist,Jar Dessert,Premium,App Open,Afternoon,Weekend,Autumn,Sunny,50%,Medium,Urgent,🍮,Treat yourself this weekend — you deserve Tiramisu Twist.
Discounts & Promotions,Kulfi,Kulfi,Premium,App Open,Afternoon,Weekend,Monsoon,Cloudy,Free Delivery,Medium,Playful,🍡,Order Kulfi right now — delivery is on us this weekend.
Cart & Purchase In10t,Mango Cheesecake Jar,Cheesecake,New,Wishlist View,Late Night,Weekend,Autumn,Sunny,30%,High,Exciting,🍰,Your saved Mango Cheesecake Jar — still calling your name?
Trends & Recommendations,Coffee Toffee Crunch,Ice Cream,Returning,Home Feed View,Late Night,Weekday,Summer,Rainy,15%,High,Urgent,🍦,"Since late night, 73 orders for Coffee Toffee Crunch came in from Pune."
Search & Discovery,Nutella Croissant,Bakery Dessert,Loyal,Search Performed,Night,Weekday,Summer,Hot,25%,High,Minimal,🧁,Your search pointed us toward Nutella Croissant. Give it a look.
Transactional,Cookie Dough Delight,Bakery Dessert,Inactive,Order Delivered,Morning,Weekday,Winter,Cold,No Discount,Low,Premium,🧁,Delivered in Hyderabad. Hope you love the Cookie Dough Delight.
Discounts & Promotions,Nutella Croissant,Bakery Dessert,Inactive,Coupon Page View,Late Night,Weekend,Summer,Cloudy,15%,High,Luxury,🧁,We dropped a 15 % coupon in your account for Nutella Croissant.
Trends & Recommendations,Rocky Road,Ice Cream,Premium,Home Feed View,Evening,Weekend,Monsoon,Cloudy,Free Delivery,Low,Luxury,🍦,The data is in: Rocky Road is the most-ordered item in Kolkata this monsoon.
Transactional,Nutella Croissant,Bakery Dessert,Returning,Order Placed,Night,Weekday,Autumn,Sunny,No Discount,Low,Premium,🧁,Order in — Nutella Croissant is being freshly prepped for you.
Social & Referral,Mini Brownie Bites,Bakery Dessert,Loyal,Group Cart View,Morning,Weekend,Monsoon,Rainy,10%,High,Friendly,🧁,The more the merrier — split a Mini Brownie Bites order and save 10 %.
Trends & Recommendations,Pistachio Rose,Ice Cream,Inactive,App Open,Late Night,Weekend,Monsoon,Hot,40%,Medium,Playful,🍦,"Curated for you: Pistachio Rose, based on your ordering history."
App Updates,Cookie Dough Delight,Bakery Dessert,New,App Open,Evening,Weekend,Summer,Sunny,No Discount,Low,Minimal,🧁,New in this update — save your Cookie Dough Delight preferences for faster ordering.
Discounts & Promotions,Black Currant Bliss,Ice Cream,Premium,Promo Banner View,Morning,Weekend,Monsoon,Sunny,50%,High,Urgent,🍦,Deal alert — Black Currant Bliss is 50 % off for the next sixty minutes only.
Time & Context,Hot Fudge Sundae,Sundae,New,App Open,Late Night,Weekend,Spring,Cold,Buy1Get1,High,Luxury,🍨,Early bird treat — Hot Fudge Sundae delivered to you this late night.
Trends & Recommendations,Cookies n' Cream,Bakery Dessert,Returning,Order History View,Night,Weekend,Spring,Cold,10%,Medium,Playful,🧁,"Curated for you: Cookies n' Cream, based on your ordering history."
Search & Discovery,Mango Sorbet,Sorbet,Loyal,Search Performed,Late Night,Weekend,Autumn,Cloudy,20%,Low,Warm,🍧,Your search pointed us toward Mango Sorbet. Give it a look.
Time & Context,Triple Scoop Sundae,Sundae,Inactive,App Open,Late Night,Weekday,Winter,Cloudy,0%,High,Funny,🍨,Before the day gets hectic: Triple Scoop Sundae as your morning pick-me-up.
Product Launches,Pistachio Rose,Ice Cream,Occasional,Home Feed View,Afternoon,Weekday,Monsoon,Cold,15%,Low,Playful,🍦,Don't sleep on Pistachio Rose — it's a limited release this monsoon.
Cart & Purchase In10t,Lychee Rose,Ice Cream,Inactive,Browsing,Late Night,Weekend,Summer,Rainy,No Discount,High,Urgent,🍦,You waited and it paid off — Lychee Rose is restocked.
Discounts & Promotions,Guava Chili Sorbet,Sorbet,Loyal,App Open,Evening,Weekday,Monsoon,Sunny,Free Delivery,High,Playful,🍧,Order Guava Chili Sorbet right now — delivery is on us this weekday.
Product Launches,Blueberry Cheesecake,Cheesecake,Inactive,Home Feed View,Evening,Weekday,Summer,Cold,10%,High,Warm,🍰,New combo alert: Blueberry Cheesecake is now part of our mix-and-match bundle.
Trends & Recommendations,Nutella Brownie,Bakery Dessert,New,Home Feed View,Morning,Weekend,Summer,Rainy,30%,Low,Warm,🧁,Orders for Nutella Brownie are climbing fast across Hyderabad.
Trends & Recommendations,Mango Tango,Ice Cream,Premium,Home Feed View,Morning,Weekday,Monsoon,Cold,No Discount,Medium,Friendly,🍦,Nothing competes with Mango Tango on our menu right now — it's the top seller.
Trends & Recommendations,Nutella Croissant,Bakery Dessert,New,App Open,Late Night,Weekend,Spring,Sunny,40%,Low,Exciting,🧁,Orders for Nutella Croissant are climbing fast across Mumbai.
Festivals & Occasions,Black Forest Pastry,Bakery Dessert,Loyal,Home Feed View,Late Night,Weekend,Winter,Cloudy,0%,Low,Warm,🧁,"One day a year, dessert is the main event. Black Forest Pastry is ready."
Cart & Purchase In10t,Mango Tango,Ice Cream,Loyal,Wishlist View,Night,Weekday,Spring,Sunny,10%,High,Funny,🍦,Something about Mango Tango on your wishlist keeps pulling you back.
Discounts & Promotions,Nutella Croissant,Bakery Dessert,Inactive,Promo Banner View,Evening,Weekend,Summer,Sunny,25%,High,Premium,🧁,"Flash offer on Nutella Croissant: 25 % discount, no code needed."
App Updates,Salted Caramel Brownie Bliss,Bakery Dessert,Inactive,App Open,Afternoon,Weekend,Spring,Rainy,No Discount,Low,Luxury,🧁,New in this update — save your Salted Caramel Brownie Bliss preferences for faster ordering.
Discounts & Promotions,Watermelon Sorbet,Sorbet,Premium,App Open,Morning,Weekday,Spring,Rainy,Free Delivery,High,Friendly,🍧,"Free delivery is live for Watermelon Sorbet, today only."
Discounts & Promotions,Red Velvet Cheesecake Bites,Cheesecake,Loyal,App Open,Evening,Weekend,Summer,Cloudy,Free Delivery,Medium,Minimal,🍰,Order Red Velvet Cheesecake Bites right now — delivery is on us this weekend.
Festivals & Occasions,Choco Lava Cupcakes,Bakery Dessert,Inactive,Home Feed View,Evening,Weekday,Monsoon,Cold,20%,Medium,Luxury,🧁,Your Brownie Day table is incomplete without Choco Lava Cupcakes.
Time & Context,Cardamom Saffron,Ice Cream,Returning,App Open,Night,Weekend,Monsoon,Cloudy,Buy1Get1,Medium,Funny,🍦,Nothing says weekend like treating yourself to Cardamom Saffron.
Festivals & Occasions,Hazelnut Praline,Ice Cream,Returning,App Open,Morning,Weekday,Spring,Cloudy,No Discount,Medium,Playful,🍦,Treat yourself this weekday — you deserve Hazelnut Praline.
Social & Referral,Coffee Crunch,Ice Cream,Occasional,Group Cart View,Afternoon,Weekend,Winter,Cold,10%,Low,Minimal,🍦,The more the merrier — split a Coffee Crunch order and save 10 %.
Time & Context,Vanilla Bean,Ice Cream,Occasional,App Open,Evening,Weekday,Monsoon,Hot,50%,High,Urgent,🍦,Evening deliveries are still running — Vanilla Bean is available now.
Product Launches,Mango Cheesecake Jar,Cheesecake,Loyal,Home Feed View,Afternoon,Weekday,Monsoon,Hot,50%,High,Urgent,🍰,The combo menu just got better — Mango Cheesecake Jar is in the mix.
Discounts & Promotions,Red Velvet Swirl,Ice Cream,Returning,App Open,Night,Weekday,Autumn,Cloudy,15%,Low,Premium,🍦,Loyal customer perk: Red Velvet Swirl at 15 % off today.
Search & Discovery,Coffee Caramel Swirl,Ice Cream,Inactive,Category Browse,Late Night,Weekend,Autumn,Hot,Buy1Get1,High,Premium,🍦,You're exploring — Coffee Caramel Swirl is a hidden gem in that category.
Search & Discovery,Black Currant Bliss,Ice Cream,Loyal,Scrolled Category,Afternoon,Weekend,Spring,Rainy,Free Delivery,High,Luxury,🍦,Black Currant Bliss showed up in your browsing. Ready to take it further?
Cart & Purchase In10t,Choco Lava Cupcakes,Bakery Dessert,New,Browsing,Night,Weekday,Spring,Rainy,50%,High,Warm,🧁,Great news from Delhi: Choco Lava Cupcakes is back on the shelves.
Lifecycle & Re10tion,Nutella Croissant,Bakery Dessert,Premium,Inactive,Afternoon,Weekend,Monsoon,Hot,15%,Medium,Friendly,🧁,Long time no order — welcome back with 15 % off Nutella Croissant.
Trends & Recommendations,Mango Delight,Ice Cream,Inactive,Home Feed View,Afternoon,Weekday,Monsoon,Cold,0%,High,Premium,🍦,Orders for Mango Delight are climbing fast across Delhi.
